id,title,tagline,homepage,release_date,genre,budget,keywords,original_language,revenue,runtime,status,vote_average,vote_count,director
135397,Jurassic World,The park is open.,http://www.jurassicworld.com/,09/06/2015,Action,150000000,monster dna tyrannosaurus rex velociraptor island,en,1513528810,124,Released,6.5,8662,Colin Trevorrow
37724,Skyfall,Think on your sins.,http://www.skyfall-movie.com,25/10/2012,Action,200000000,spy secret agent sociopath killer art gallery,en,1108561013,143,Released,6.9,7604,Sam Mendes
558,Spider-Man 2,There's a hero in all of us.,http://www.sonypictures.com/movies/spider-man2/,25/06/2004,Action,200000000,dual identity love of one's life pizza boy marvel comic sequel,en,783766341,127,Released,6.7,4321,Sam Raimi
68721,Iron Man 3,Unleash the power behind the armor.,http://marvel.com/ironman3,18/04/2013,Action,200000000,terrorist war on terror tennessee malibu marvel comic,en,1215439994,130,Released,6.8,8806,Shane Black
12155,Alice in Wonderland,You're invited to a very important date.,http://disney.go.com/wonderland/,03/03/2010,Family,200000000,based on novel fictional place queen fantasy alice in wonderland,en,1025491110,108,Released,6.4,4645,Tim Burton
36668,X-Men: The Last Stand,Take a Stand,,24/05/2006,Adventure,210000000,mutant marvel comic based on comic book superhuman beast,en,459359555,104,Released,6.3,3525,Brett Ratner
62211,Monsters University,School never looked this scary.,,20/06/2013,Animation,200000000,monster dormitory games animation best friend,en,743559607,104,Released,7,3528,Dan Scanlon
8373,Transformers: Revenge of the Fallen,Revenge is coming.,http://www.transformersmovie.com/,19/06/2009,Science,150000000,egypt sun chaos symbol artifact,en,836297228,150,Released,6,3138,Michael Bay
91314,Transformers: Age of Extinction,This is not war. It's extinction.,http://www.transformersmovie.com,25/06/2014,Science,210000000,sequel alien transformers giant robot robot,en,1091405097,165,Released,5.8,3095,Michael Bay
68728,Oz: The Great and Powerful,"In Oz, nothing is what it seems",http://www.ozthegreatandpowerfulmovie.com,07/03/2013,Fantasy,200000000,circus witch magic hope illusion,en,491868548,130,Released,5.7,3530,Sam Raimi
102382,The Amazing Spider-Man 2,No more secrets.,http://www.theamazingspiderman.com,16/04/2014,Action,200000000,obsession marvel comic sequel based on comic book electrocution,en,705717432,142,Released,6.5,4179,Marc Webb
20526,TRON: Legacy,The Game Has Changed.,http://disney.go.com/tron/,10/12/2010,Adventure,170000000,artificial intelligence secret identity computer program dystopia computer,en,400062763,125,Released,6.3,2841,Joseph Kosinski
49013,Cars 2,Ka-ciao!,http://www.disney.go.com/cars/,11/06/2011,Animation,200000000,car race sequel comedy anthropomorphism best friend,en,559852396,106,Released,5.8,2033,John Lasseter
44912,Green Lantern,"In our darkest hour, there will be light.",http://greenlanternmovie.warnerbros.com/,16/06/2011,Adventure,200000000,dc comics transformation superhero alien alien infection,en,219851172,114,Released,5.1,2487,Martin Campbell
10193,Toy Story 3,No toy gets left behind.,http://disney.go.com/toystory/,16/06/2010,Animation,200000000,hostage college toy barbie animation,en,1066969703,103,Released,7.6,4597,Lee Unkrich
534,Terminator Salvation,The End Begins.,https://www.warnerbros.com/terminator-salvation,20/05/2009,Action,200000000,saving the world artificial intelligence prophecy san francisco cyborg,en,371353001,115,Released,5.9,2463,McG
168259,Furious 7,Vengeance Hits Home,http://www.furious7.com/,01/04/2015,Action,190000000,car race speed revenge suspense car,en,1506249360,137,Released,7.3,4176,James Wan
72190,World War Z,Remember Philly!,http://www.worldwarzmovie.com,20/06/2013,Action,200000000,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,531865000,116,Released,6.7,5560,Marc Forster
127585,X-Men: Days of Future Past,"To save the future, they must alter the past",http://www.x-menmovies.com/,15/05/2014,Action,250000000,1970s mutant time travel marvel comic based on comic book,en,747862775,131,Released,7.5,6032,Bryan Singer
54138,Star Trek Into Darkness,Earth Will Fall,,05/05/2013,Action,190000000,spacecraft friendship sequel futuristic space,en,467365246,132,Released,7.4,4418,J.J. Abrams
81005,Jack the Giant Slayer,Prepare for a giant adventure,http://jackthegiantkiller.warnerbros.com,27/02/2013,Action,195000000,based on fairy tale giant,en,197687603,114,Released,5.5,2598,Bryan Singer
64682,The Great Gatsby,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,,10/05/2013,Drama,105000000,based on novel infidelity obsession hope 3d,en,351040419,143,Released,7.3,3769,Baz Luhrmann
9543,Prince of Persia: The Sands of Time,Defy the Future,http://disney.go.com/disneypictures/princeofpersia,19/05/2010,Adventure,150000000,persia sandstorm brother against brother armageddon regent,en,335154643,116,Released,6.2,2317,Mike Newell
68726,Pacific Rim,"To Fight Monsters, We Created Monsters",http://www.pacificrimmovie.com/,11/07/2013,Action,180000000,dystopia giant robot giant monster apocalypse imax,en,407602906,131,Released,6.7,4794,Guillermo del Toro
38356,Transformers: Dark of the Moon,The invasion we always feared. An enemy we never expected.,http://www.transformersmovie.com/,28/06/2011,Action,195000000,moon spacecraft traitor bodyguard alien planet,en,1123746996,154,Released,6.1,3299,Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,The adventure continues . . .,http://www.indianajones.com/site/index.html,21/05/2008,Adventure,185000000,saving the world riddle whip treasure mexico city,en,786636033,122,Released,5.7,2495,Steven Spielberg
105864,The Good Dinosaur,Little Arms With Big Attitude,http://movies.disney.com/the-good-dinosaur,14/11/2015,Adventure,175000000,tyrannosaurus rex friends alternate history dinosaur fear,en,331926147,93,Released,6.6,1736,Peter Sohn
62177,Brave,Change your fate.,http://disney.go.com/brave/#/home,21/06/2012,Animation,185000000,scotland rebel bravery kingdom archer,en,538983207,93,Released,6.7,4641,Brenda Chapman
188927,Star Trek Beyond,,http://www.startrekmovie.com/,07/07/2016,Action,185000000,sequel stranded hatred space opera,en,343471816,122,Released,6.6,2568,Justin Lin
10681,WALL·E,An adventure beyond the ordinar-E.,http://disney.go.com/disneypictures/wall-e/,22/06/2008,Animation,180000000,romantic comedy,en,521311860,98,Released,7.8,6296,Andrew Stanton
5174,Rush Hour 3,The Rush Is On!,,08/08/2007,Action,140000000,ambassador,en,258022233,91,Released,6.1,783,Brett Ratner
14161,2012,We Were Warned.,http://www.sonypictures.com/movies/2012,10/10/2009,Action,200000000,civilization natural disaster end of the world disaster apocalypse,en,769653595,158,Released,5.6,4903,Roland Emmerich
17979,A Christmas Carol,Season's Greedings,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,04/11/2009,Animation,200000000,holiday based on novel victorian england money christmas eve,en,325233863,96,Released,6.6,1095,Robert Zemeckis
76757,Jupiter Ascending,Expand your universe.,http://www.jupiterascending.com,04/02/2015,Science,176000003,jupiter space woman director 3d interspecies romance,en,183987723,124,Released,5.2,2768,Lilly Wachowski
258489,The Legend of Tarzan,Human. Nature.,http://legendoftarzan.com,29/06/2016,Action,180000000,africa feral child tarzan jungle animal attack,en,356743061,109,Released,5.5,2430,David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Evil Has Reigned For 100 Years...,,07/12/2005,Adventure,180000000,saving the world witch based on novel brother sister relationship self sacrifice,en,748806957,143,Released,6.7,2629,Andrew Adamson
246655,X-Men: Apocalypse,Only the strong will survive,http://www.foxmovies.com/movies/x-men-apocalypse,18/05/2016,Science,178000000,mutant supernatural powers marvel comic superhero based on comic book,en,543934787,144,Released,6.4,4721,Bryan Singer
155,The Dark Knight,Why So Serious?,http://thedarkknight.warnerbros.com/dvdsite/,16/07/2008,Drama,185000000,dc comics crime fighter secret identity scarecrow sadism,en,1004558444,152,Released,8.2,12002,Christopher Nolan
14160,Up,,http://disney.go.com/disneypictures/up/,13/05/2009,Animation,175000000,age difference central and south america balloon animation floating in the air,en,735099082,96,Released,7.7,6870,Pete Docter
15512,Monsters vs Aliens,"When aliens attack, monsters fight back.",http://www.monstersvsaliens.com/,19/03/2009,Animation,175000000,alien giant robot duringcreditsstinger,en,381509870,94,Released,6,1423,Conrad Vernon
1726,Iron Man,Heroes aren't born. They're built.,http://www.ironmanmovie.com/,30/04/2008,Action,140000000,middle east arms dealer malibu marvel comic superhero,en,585174222,126,Released,7.4,8776,Jon Favreau
44826,Hugo,One of the most legendary directors of our time takes you on an extraordinary adventure.,http://www.hugomovie.com/,22/11/2011,Adventure,170000000,library clock film director key toy,en,185770160,126,Released,7,2141,Martin Scorsese
8487,Wild Wild West,It's a whole new west.,,29/06/1999,Action,170000000,steampunk based on tv series steam locomotive drag,en,222104681,106,Released,5.1,1020,Barry Sonnenfeld
297761,Suicide Squad,Worst Heroes Ever,http://www.suicidesquad.com/,02/08/2016,Action,175000000,dc comics shared universe anti hero secret mission villain,en,745000000,123,Released,5.9,7458,David Ayer
2698,Evan Almighty,A comedy of biblical proportions,http://www.evanalmighty.com/,09/06/2007,Fantasy,175000000,father son relationship daily life married couple support father,en,173000000,96,Released,5.3,1151,Tom Shadyac
137113,Edge of Tomorrow,"Live, Die, Repeat",http://www.edgeoftomorrowmovie.com/,27/05/2014,Action,178000000,deja vu time warp restart dystopia war,en,370541256,113,Released,7.6,4858,Doug Liman
9804,Waterworld,Beyond the horizon lies the secret to a new beginning.,,28/07/1995,Adventure,175000000,ocean tattoo mutant water dystopia,en,264218220,135,Released,5.9,992,Kevin Reynolds
14869,G.I. Joe: The Rise of Cobra,"When all else fails, they don't.",http://www.gijoemovie.com/,04/08/2009,Adventure,175000000,terrorist secret hostage technology warhead,en,302469017,118,Released,5.6,1962,Stephen Sommers
150540,Inside Out,Meet the little voices inside your head.,http://movies.disney.com/inside-out,09/06/2015,Drama,175000000,dream cartoon imaginary friend animation family,en,857611174,94,Released,8,6560,Pete Docter
278927,The Jungle Book,,http://movies.disney.com/the-jungle-book-2016,07/04/2016,Family,175000000,based on novel snake wolf elephant tiger,en,966550600,106,Released,6.7,2892,Jon Favreau
10138,Iron Man 2,"It's not the armor that makes the hero, but the man inside.",http://www.ironmanmovie.com/,28/04/2010,Adventure,200000000,malibu marvel comic superhero based on comic book revenge,en,623933331,124,Released,6.6,6849,Jon Favreau
58595,Snow White and the Huntsman,The Fairytale is Over,http://www.snowwhiteandthehuntsman.com/,30/05/2012,Adventure,170000000,queen magic fairy tale immortality forest,en,396600000,127,Released,5.8,3118,Rupert Sanders
102651,Maleficent,Don't believe the fairy tale.,http://movies.disney.com/maleficent,28/05/2014,Fantasy,180000000,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,758539785,97,Released,7,4496,Robert Stromberg
119450,Dawn of the Planet of the Apes,One last chance for peace.,http://www.dawnofapes.com/,26/06/2014,Science,170000000,leader colony post-apocalyptic dystopia forest,en,710644566,130,Released,7.3,4410,Matt Reeves
64686,47 Ronin,For courage. For loyalty. For honor.,,06/12/2013,Drama,175000000,japan suicide samurai based on true story samurai sword,en,150962475,119,Released,5.9,1326,Carl Rinsch
100402,Captain America: The Winter Soldier,In heroes we trust.,http://www.captainamericathewintersoldiermovie.com,20/03/2014,Action,170000000,washington d.c. future shield marvel comic superhero,en,714766572,136,Released,7.6,5764,Anthony Russo
10192,Shrek Forever After,It ain't Ogre... Til it's Ogre,http://www.shrekforeverafter.com/,16/05/2010,Comedy,165000000,ogre 3d,en,752600867,93,Released,6,1959,Mike Mitchell
158852,Tomorrowland,Imagine a world where nothing is impossible.,http://movies.disney.com/tomorrowland,19/05/2015,Adventure,190000000,inventor apocalypse destiny imax dreamer,en,209154322,130,Released,6.2,2846,Brad Bird
177572,Big Hero 6,From the creators of Wreck-it Ralph and Frozen,http://movies.disney.com/big-hero-6,24/10/2014,Adventure,165000000,brother brother relationship hero talent revenge best friend,en,652105443,102,Released,7.8,6135,Chris Williams
82690,Wreck-It Ralph,The story of a regular guy just looking for a little wreck-ognition.,http://disney.go.com/wreck-it-ralph,01/11/2012,Family,165000000,support group product placement bullying racing arcade,en,471222889,108,Released,7.1,4570,Rich Moore
5255,The Polar Express,This holiday season... believe.,,10/11/2004,Adventure,165000000,santa claus nerd faith gift bell,en,305875730,100,Released,6.4,1474,Robert Zemeckis
47933,Independence Day: Resurgence,We had twenty years to prepare. So did they.,http://www.warof1996.com,22/06/2016,Action,165000000,alternate history alien invasion,en,389681935,120,Released,4.9,2491,Roland Emmerich
10191,How to Train Your Dragon,One adventure will change two worlds,http://www.howtotrainyourdragon.com/,05/03/2010,Fantasy,165000000,flying blacksmith arena island night,en,494878759,98,Released,7.5,4227,Chris Sanders
296,Terminator 3: Rise of the Machines,The Machines Will Rise.,,02/07/2003,Action,200000000,saving the world artificial intelligence man vs machine cyborg killer robot,en,435000000,109,Released,5.9,2143,Jonathan Mostow
118340,Guardians of the Galaxy,All heroes start somewhere.,http://marvel.com/guardians,30/07/2014,Action,170000000,marvel comic spaceship space outer space orphan,en,773328629,121,Released,7.9,9742,James Gunn
157336,Interstellar,Mankind was born on Earth. It was never meant to die here.,http://www.interstellarmovie.net/,05/11/2014,Adventure,165000000,saving the world artificial intelligence father son relationship single parent nasa,en,675120017,169,Released,8.1,10867,Christopher Nolan
27205,Inception,Your mind is the scene of the crime.,http://inceptionmovie.warnerbros.com/,14/07/2010,Action,160000000,loss of lover dream kidnapping sleep subconsciousness,en,825532764,148,Released,8.1,13752,Christopher Nolan
315011,Shin Godzilla,A god incarnate. A city doomed.,,29/07/2016,Action,15000000,monster godzilla giant monster destruction kaiju,ja,77000000,120,Released,6.5,143,Hideaki Anno
49051,The Hobbit: An Unexpected Journey,From the smallest beginnings come the greatest legends.,http://www.thehobbit.com/,26/11/2012,Adventure,250000000,riddle elves dwarves orcs middle-earth (tolkien),en,1021103568,169,Released,7,8297,Peter Jackson
9799,The Fast and the Furious,Live life 1/4 mile at a time.,,22/06/2001,Action,38000000,street gang car race undercover auto-tuning los angeles,en,207283925,106,Released,6.6,3428,Rob Cohen
4922,The Curious Case of Benjamin Button,"Life isn't measured in minutes, but in moments.",http://www.benjaminbutton.com/,24/11/2008,Fantasy,150000000,diary navy funeral tea travel,en,333932083,166,Released,7.3,3292,David Fincher
49538,X-Men: First Class,Witness the moment that will change our world.,http://www.x-menfirstclassmovie.com/,24/05/2011,Action,160000000,cia mutant mine marvel comic superhero,en,353624124,132,Released,7.1,5181,Matthew Vaughn
131634,The Hunger Games: Mockingjay - Part 2,The fire will burn forever.,http://www.thehungergames.movie/,18/11/2015,Action,160000000,revolution strong woman dystopia game of death 3d,en,653428261,137,Released,6.6,3984,Francis Lawrence
27022,The Sorcerer's Apprentice,It's The Coolest Job Ever.,http://disney.go.com/disneypictures/sorcerersapprentice/,13/07/2010,Fantasy,150000000,witch fire wolf fountain magic,en,215283742,109,Released,5.8,1470,Jon Turteltaub
503,Poseidon,Mayday,http://www2.warnerbros.com/poseidon/,12/05/2006,Adventure,160000000,new year's eve fire drowning cataclysm loss of father,en,181674817,99,Released,5.5,583,Wolfgang Petersen
241259,Alice Through the Looking Glass,It's time for a little madness.,http://movies.disney.com/alice-through-the-looking-glass,25/05/2016,Fantasy,170000000,based on novel clock queen sequel alice in wonderland,en,299370084,113,Released,6.5,1725,James Bobin
810,Shrek the Third,Who's ready for Thirds?,http://www.shrekthethird.com/flash/index.html,17/05/2007,Fantasy,160000000,ambush sadness stage liberation of prisoners island,en,798958165,93,Released,6,2278,Chris Miller
68735,Warcraft,Two worlds. One home.,http://www.warcraft-themovie.com/,25/05/2016,Action,160000000,video game elves orcs magic chase,en,433677183,123,Released,6.3,2268,Duncan Jones
87101,Terminator Genisys,Reset the future,http://www.terminatormovie.com/,23/06/2015,Science,155000000,saving the world artificial intelligence cyborg killer robot future,en,440603537,126,Released,5.8,3631,Alan Taylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Return to magic. Return to hope. Return to Narnia.,,13/08/2010,Adventure,155000000,based on novel magic good vs evil king narnia,en,415686217,113,Released,6.2,1514,Michael Apted
676,Pearl Harbor,It takes a moment to change history. It takes love to change lives.,,21/05/2001,History,140000000,nurse patriotism hawaii world war ii pilot,en,449220945,183,Released,6.6,1791,Michael Bay
1858,Transformers,Their war. Our world.,http://www.transformersmovie.com/,27/06/2007,Adventure,150000000,destroy transformation alien based on toy transformers,en,709709780,144,Released,6.6,4040,Michael Bay
1966,Alexander,The greatest legend of all was real.,,21/11/2004,War,155000000,aristotle egypt greece persia elephant,en,167298192,175,Released,5.6,927,Oliver Stone
675,Harry Potter and the Order of the Phoenix,Evil Must Be Confronted.,http://www.harrypotterorderofthephoenix.com/,28/06/2007,Adventure,150000000,prophecy witch loss of lover magic cutting the cord,en,938212738,138,Released,7.4,5494,David Yates
674,Harry Potter and the Goblet of Fire,Dark And Difficult Times Lie Ahead.,http://harrypotter.warnerbros.com/,05/11/2005,Adventure,150000000,magic dying and death broom sorcerer's apprentice school of witchcraft,en,895921036,157,Released,7.5,5608,Mike Newell
8960,Hancock,Bad Behavior. Bad Attitude. Real Hero.,http://www.sonypictures.com/movies/hancock/,01/07/2008,Fantasy,150000000,flying alcohol love of one's life forbidden love lovers,en,624029371,92,Released,6.2,2961,Peter Berg
6479,I Am Legend,The last man on Earth is not alone,http://iamlegend.warnerbros.com/,14/12/2007,Drama,150000000,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,en,585349010,101,Released,6.9,4853,Francis Lawrence
118,Charlie and the Chocolate Factory,Willy Wonka is semi-sweet and nuts.,https://www.warnerbros.com/charlie-and-chocolate-factory,13/07/2005,Adventure,150000000,london england father son relationship chocolate factory worker based on novel,en,474968763,115,Released,6.7,3624,Tim Burton
2062,Ratatouille,He's dying to become a chef.,http://disney.go.com/disneypictures/ratatouille/,22/06/2007,Animation,150000000,paris brother brother relationship expensive restaurant river cook,en,623722818,111,Released,7.5,4369,Jan Pinkava
272,Batman Begins,Evil fears the knight.,http://www2.warnerbros.com/batmanbegins/index.html,10/06/2005,Action,150000000,himalaya martial arts dc comics crime fighter secret identity,en,374218673,140,Released,7.5,7359,Christopher Nolan
10527,Madagascar: Escape 2 Africa,Still together. Still lost!,http://www.madagascar-themovie.com,30/10/2008,Family,150000000,africa jealousy dance hunger lion,en,603900354,89,Released,6.2,1810,Eric Darnell
18360,Night at the Museum: Battle of the Smithsonian,When the lights go off the battle is on.,http://www.nightatthemuseummovie.com,20/05/2009,Adventure,150000000,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,en,413106170,105,Released,5.9,1971,Shawn Levy
2080,X-Men Origins: Wolverine,Witness the Origin.,http://www.x-menorigins.com/,28/04/2009,Adventure,150000000,corruption mutant boxer army marvel comic,en,373062864,107,Released,6.2,4021,Gavin Hood
605,The Matrix Revolutions,Everything that has a beginning has an end.,,05/11/2003,Adventure,150000000,saving the world artificial intelligence man vs machine flying philosophy,en,424988211,129,Released,6.4,3096,Lilly Wachowski
109445,Frozen,Only the act of true love will thaw a frozen heart.,http://movies.disney.com/frozen,27/11/2013,Animation,150000000,queen musical princess betrayal snowman,en,1274219009,102,Released,7.3,5295,Chris Buck
604,The Matrix Reloaded,Free your mind.,,15/05/2003,Adventure,150000000,saving the world artificial intelligence man vs machine martial arts kung fu,en,738599701,138,Released,6.7,3443,Lilly Wachowski
76338,Thor: The Dark World,Delve into the darkness,http://marvel.com/thor,29/10/2013,Action,170000000,marvel comic superhero based on comic book hostile takeover norse mythology,en,644571402,112,Released,6.8,4755,Alan Taylor
76341,Mad Max: Fury Road,What a Lovely Day.,http://www.madmaxmovie.com/,13/05/2015,Action,150000000,future chase post-apocalyptic dystopia australia,en,378858340,120,Released,7.2,9427,George Miller
13448,Angels & Demons,,http://www.angelsanddemons.com/,13/05/2009,Thriller,150000000,rome vatican based on novel symbolism christian,en,356613439,138,Released,6.5,2129,Ron Howard
10195,Thor,Two worlds. One hero.,http://thor.marvel.com/,21/04/2011,Adventure,150000000,new mexico banishment shield marvel comic hammer,en,449326618,115,Released,6.6,6525,Kenneth Branagh
13053,Bolt,Fully Awesome. Ridonculous. Let It Begin.,http://movies.disney.com/bolt,21/11/2008,Animation,150000000,hamster kids and family animal cat vs dog duringcreditsstinger,en,309979994,98,Released,6.3,1750,Chris Williams
19585,G-Force,The world needs bigger heroes,http://disney.go.com/disneypictures/gforce/,21/07/2009,Fantasy,150000000,dyr duringcreditsstinger,en,292817841,88,Released,5.1,510,Hoyt Yeatman
57165,Wrath of the Titans,Feel the Wrath,http://www.wrathofthetitansmovie.org,27/03/2012,Adventure,150000000,underworld hades mythology greek mythology zeus,en,301000000,99,Released,5.5,1431,Jonathan Liebesman
62213,Dark Shadows,Every Family Has Its Demons,http://darkshadowsmovie.warnerbros.com,08/05/2012,Comedy,150000000,witch imprisonment vampire curse fish out of water,en,245527149,113,Released,5.7,2320,Tim Burton
177677,Mission: Impossible - Rogue Nation,Desperate Times. Desperate Measures.,http://www.missionimpossible.com,23/07/2015,Action,150000000,london england spy austria villain sequel,en,682330139,131,Released,7.1,3224,Christopher McQuarrie
7978,The Wolfman,When the moon is full the legend comes to life,http://www.thewolfmanmovie.com/,11/02/2010,Drama,150000000,father son relationship victorian england remake rural setting werewolf,en,0,102,Released,5.5,549,Joe Johnston
5559,Bee Movie,Born to bee wild.,http://www.beemovie.com/,28/10/2007,Family,150000000,factory worker tennis flower florist flower shop,en,287594577,91,Released,5.7,1171,Steve Hickner
49444,Kung Fu Panda 2,Prepare for the Year of Awesomeness!,http://www.kungfupanda.com/,25/05/2011,Animation,150000000,martial arts hope fleet panda mission,en,665692281,91,Released,6.7,1880,Jennifer Yuh Nelson
10196,The Last Airbender,"Four nations, one destiny",http://www.thelastairbendermovie.com/,30/06/2010,Action,150000000,fire ice war ship prince kingdom,en,318502923,103,Released,4.7,1151,M. Night Shyamalan
956,Mission: Impossible III,The Mission Begins 05:05:06.,http://www.missionimpossible.com/,03/05/2006,Adventure,150000000,berlin cia vatican white house secret identity,en,397850012,126,Released,6.5,2028,J.J. Abrams
117251,White House Down,It will start like any other day.,,27/06/2013,Action,150000000,usa president conspiracy secret service the white house,en,205366737,131,Released,6.4,1891,Roland Emmerich
